,index,0
0,id,object
1,loan_amnt,float64
2,funded_amnt,float64
3,funded_amnt_inv,float64
4,term,object
5,installment,float64
6,grade,object
7,sub_grade,object
8,emp_length,object
9,home_ownership,object
10,annual_inc,float64
11,verification_status,object
12,loan_status,object
13,pymnt_plan,object
14,url,object
15,purpose,object
16,title,object
17,zip_code,object
18,addr_state,object
19,dti,float64
20,delinq_2yrs,float64
21,earliest_cr_line,datetime64[ns]
22,fico_range_low,float64
23,fico_range_high,float64
24,inq_last_6mths,float64
25,open_acc,float64
26,pub_rec,float64
27,revol_bal,float64
28,revol_util,float64
29,total_acc,float64
30,initial_list_status,object
31,out_prncp,float64
32,out_prncp_inv,float64
33,total_pymnt,float64
34,total_pymnt_inv,float64
35,total_rec_prncp,float64
36,total_rec_int,float64
37,total_rec_late_fee,float64
38,recoveries,float64
39,collection_recovery_fee,float64
40,last_pymnt_d,datetime64[ns]
41,last_pymnt_amnt,float64
42,next_pymnt_d,datetime64[ns]
43,last_credit_pull_d,datetime64[ns]
44,last_fico_range_high,float64
45,last_fico_range_low,float64
46,collections_12_mths_ex_med,float64
47,application_type,object
48,annual_inc_joint,float64
49,dti_joint,float64
50,verification_status_joint,object
51,acc_now_delinq,float64
52,tot_coll_amt,float64
53,tot_cur_bal,float64
54,open_acc_6m,float64
55,open_act_il,float64
56,open_il_12m,float64
57,open_il_24m,float64
58,mths_since_rcnt_il,float64
59,total_bal_il,float64
60,il_util,float64
61,open_rv_12m,float64
62,open_rv_24m,float64
63,max_bal_bc,float64
64,all_util,float64
65,total_rev_hi_lim,float64
66,inq_fi,float64
67,total_cu_tl,float64
68,inq_last_12m,float64
69,acc_open_past_24mths,float64
70,avg_cur_bal,float64
71,bc_open_to_buy,float64
72,bc_util,float64
73,chargeoff_within_12_mths,float64
74,delinq_amnt,float64
75,mo_sin_old_il_acct,float64
76,mo_sin_old_rev_tl_op,float64
77,mo_sin_rcnt_rev_tl_op,float64
78,mo_sin_rcnt_tl,float64
79,mort_acc,float64
80,mths_since_recent_bc,float64
81,mths_since_recent_inq,float64
82,num_accts_ever_120_pd,float64
83,num_actv_bc_tl,float64
84,num_actv_rev_tl,float64
85,num_bc_sats,float64
86,num_bc_tl,float64
87,num_il_tl,float64
88,num_op_rev_tl,float64
89,num_rev_accts,float64
90,num_rev_tl_bal_gt_0,float64
91,num_sats,float64
92,num_tl_120dpd_2m,float64
93,num_tl_30dpd,float64
94,num_tl_90g_dpd_24m,float64
95,num_tl_op_past_12m,float64
96,pct_tl_nvr_dlq,float64
97,percent_bc_gt_75,float64
98,pub_rec_bankruptcies,float64
99,tax_liens,float64
100,tot_hi_cred_lim,float64
101,total_bal_ex_mort,float64
102,total_bc_limit,float64
103,total_il_high_credit_limit,float64
104,revol_bal_joint,bool
105,hardship_flag,object
106,disbursement_method,object
107,debt_settlement_flag,object
108,sec_app_flag,bool
